"-- Please Select --","-- Faites un choix --",-
"The secret key is provided in your 3xCB account","La clé secrète est fournie dans votre compte 3xCB",app/code/community/Fianet/Payment3xcb/etc/system.xml
Title,Libellé,app/code/community/Fianet/Payment3xcb/etc/system.xml
"You can enable the payment method only for some customer groups (for example for testing the payment method)","Vous pouvez activer la méthode de paiement seulement pour certains groupes clients (par exemple pour tester le mode de paiement)",app/code/community/Fianet/Payment3xcb/etc/system.xml

"3xCB Transaction","Transaction 3xCB",app/design/adminhtml/default/default/layout/fianetpayment3xcb.xml

"Are you sure you want to delete this category?","Êtes-vous sûr(e) de vouloir supprimer cette catégorie ?",app/design/adminhtml/default/default/template/fianetpayment3xcb/mapping/catalog/category/tree.phtml
Categories,Catégories,app/design/adminhtml/default/default/template/fianetpayment3xcb/mapping/catalog/category/tree.phtml
"Collapse All","Tout réduire",app/design/adminhtml/default/default/template/fianetpayment3xcb/mapping/catalog/category/tree.phtml
"Expand All","Tout développer",app/design/adminhtml/default/default/template/fianetpayment3xcb/mapping/catalog/category/tree.phtml

Address,Adresse,app/design/adminhtml/default/default/template/fianetpayment3xcb/mapping/shipping/method/edit.phtml
Carrier,Transporteur,app/design/adminhtml/default/default/template/fianetpayment3xcb/mapping/shipping/method/edit.phtml
City,Ville,app/design/adminhtml/default/default/template/fianetpayment3xcb/mapping/shipping/method/edit.phtml
Country,Pays,app/design/adminhtml/default/default/template/fianetpayment3xcb/mapping/shipping/method/edit.phtml
"FIA-NET Shipping Name","Nom de livraison FIA-NET",app/design/adminhtml/default/default/template/fianetpayment3xcb/mapping/shipping/method/edit.phtml
"FIA-NET Shipping Speed","Rapidité de livraison FIA-NET",app/design/adminhtml/default/default/template/fianetpayment3xcb/mapping/shipping/method/edit.phtml
"FIA-NET Shipping Type","Type de livraison FIA-NET",app/design/adminhtml/default/default/template/fianetpayment3xcb/mapping/shipping/method/edit.phtml
Method,Méthode,app/design/adminhtml/default/default/template/fianetpayment3xcb/mapping/shipping/method/edit.phtml
"Postal Code","Code Postal",app/design/adminhtml/default/default/template/fianetpayment3xcb/mapping/shipping/method/edit.phtml
Save,Enregistrer,app/design/adminhtml/default/default/template/fianetpayment3xcb/mapping/shipping/method/edit.phtml
"Shipping Configuration","Configuration de la livraison",app/design/adminhtml/default/default/template/fianetpayment3xcb/mapping/shipping/method/edit.phtml
"Shipping Method to FIA-NET Shipping Type Mapping","Association des méthodes de livraison avec les types de livraison FIA-NET",app/design/adminhtml/default/default/template/fianetpayment3xcb/mapping/shipping/method/edit.phtml
"Store Location","Localisation de la boutique",app/design/adminhtml/default/default/template/fianetpayment3xcb/mapping/shipping/method/edit.phtml
"To define","A definir",app/design/adminhtml/default/default/template/fianetpayment3xcb/mapping/shipping/method/edit.phtml

"3xCB Transaction State","État de transaction 3xCB",app/design/adminhtml/default/default/template/fianetpayment3xcb/mapping/transaction/state/edit.phtml
"FIA-NET Transaction State to Order Status Mapping","Association des état de transaction FIA-NET avec les statuts de commande",app/design/adminhtml/default/default/template/fianetpayment3xcb/mapping/transaction/state/edit.phtml
"Notify Customer","Notifier le client",app/design/adminhtml/default/default/template/fianetpayment3xcb/mapping/transaction/state/edit.phtml
"Order Status","Statut de commande",app/design/adminhtml/default/default/template/fianetpayment3xcb/mapping/transaction/state/edit.phtml
"State Description","Description de l'état",app/design/adminhtml/default/default/template/fianetpayment3xcb/mapping/transaction/state/edit.phtml

"Order under control","Order under control",app/design/adminhtml/default/default/template/fianetpayment3xcb/payment/info.phtml
Processing,Processing,app/design/adminhtml/default/default/template/fianetpayment3xcb/payment/info.phtml
Status,Status,app/design/adminhtml/default/default/template/fianetpayment3xcb/payment/info.phtml

"FIA-NET 3xCB - Payment in 2, 3 or 4 times by credit card","FIA-NET 3xCB - Paiement en 2, 3 ou 4 fois par carte bancaire",app/design/frontend/base/default/template/fianetpayment3xcb/payment/form.phtml
"This payment method is currently in test phase, no payment possible.","Cette méthode de paiement est actuellement en phase de test, aucun paiement n'est possible.",app/design/frontend/base/default/template/fianetpayment3xcb/payment/form.phtml

Back,Retour,app/design/frontend/base/default/template/fianetpayment3xcb/payment/redirect.phtml
"Go to online payment platform","Aller sur la plateforme de paiement en ligne",app/design/frontend/base/default/template/fianetpayment3xcb/payment/redirect.phtml
"There has been an error processing your payment. Please try later or contact us for help.","Une erreur est survenue lors du traitement de votre paiement. Veuillez réessayer plus tard ou nous contacter pour obtenir de l'aide.",app/design/frontend/base/default/template/fianetpayment3xcb/payment/redirect.phtml
"You will be redirected to 3xCB in a few seconds...","Vous allez être redirigé vers 3xCB dans quelques secondes...",app/design/frontend/base/default/template/fianetpayment3xcb/payment/redirect.phtml
